n,cvar,qcvar,var,qvar,tvar,qtvar
15,0.42389499999999997,0.410279,0.319725,0.22305899999999998,0.534848,0.6594169999999999
15,0.381413,0.427722,1.415671,0.22401,0.457229,0.686129
15,0.38988,0.41497799999999996,0.257695,0.244971,0.45794999999999997,0.7330289999999999
15,0.39464899999999997,0.408415,0.263567,0.222527,0.46670799999999996,0.688574
15,0.43643,0.42488699999999996,0.25709499999999996,0.225604,0.44132899999999997,0.652565
15,0.371965,0.41641,0.24853799999999998,0.22333899999999998,0.44381299999999996,0.650451
15,1.312323,0.414116,0.24223499999999998,0.227978,0.498859,0.6266039999999999
16,0.390171,0.407393,0.257034,0.233168,0.436289,0.691079
16,0.36894,0.401292,0.24121399999999998,0.238889,1.374502,0.668706
16,0.371764,0.414827,0.254809,0.23911,0.439515,0.687551
16,0.45398299999999997,1.375805,0.24403999999999998,0.22358999999999998,0.42516699999999996,0.6575449999999999
16,1.427134,0.40041,0.23776799999999998,0.2288,0.45031499999999997,0.626896
16,0.40377599999999997,0.396843,0.25279599999999997,0.23939,1.465798,0.6861189999999999
16,0.393246,0.406852,0.24836699999999998,0.24013199999999998,0.548975,0.6182489999999999
16,0.378287,0.415579,0.32310099999999997,0.222328,0.42674999999999996,0.626755
16,0.383358,0.415228,0.245191,0.222988,0.434025,0.6806789999999999
16,1.4247589999999999,0.40777399999999997,0.32346199999999997,0.221746,0.456758,0.680268
17,0.427872,0.40993799999999997,0.257915,0.223079,1.498581,0.6423949999999999
17,0.356255,0.475394,0.257235,0.223319,1.492659,0.647965
17,0.42419599999999996,0.41919599999999996,0.24953,0.238779,0.509741,0.697772
17,0.396954,0.401642,0.30704,0.22780899999999998,0.51473,0.659508
17,0.442862,0.40552,0.267294,0.222628,0.5198699999999999,0.606406
17,0.431029,0.422222,0.25568199999999996,0.222468,0.497227,0.641834
17,0.440587,0.42174999999999996,0.257445,0.22200699999999998,0.43551799999999996,0.610754
17,0.44349299999999997,0.423595,0.257856,0.233709,0.519689,0.606897
17,0.44834199999999996,0.41086999999999996,0.255642,0.22313899999999998,1.506858,0.603391
17,0.373548,0.409097,0.325696,0.22269799999999998,0.574755,0.630582
18,0.346707,0.410359,0.256503,0.22366999999999998,0.5016149999999999,1.819689
18,0.44709899999999997,0.47564399999999996,0.25251599999999996,0.232427,0.463701,0.704985
18,0.461788,1.5301719999999999,0.260501,0.222658,0.462368,0.646392
18,0.395651,0.412653,1.396174,0.222799,0.505572,0.681561
18,0.392545,0.425658,0.31099699999999997,0.224221,0.441499,0.651493
18,0.368929,0.403706,0.25146399999999997,0.22217699999999999,0.53565,0.675018
18,0.38675299999999996,0.46923299999999996,0.258737,0.224622,0.48851,0.6550389999999999
18,0.394128,0.488919,0.253998,0.237707,0.45798099999999997,0.665029
18,0.393015,0.41641,0.264919,0.223359,0.416301,0.646172
18,0.455356,0.46309999999999996,0.316378,0.22322999999999998,0.47612499999999996,0.697541
