n,cvar,qcvar,var,qvar,tvar,qtvar,expectation
3000,0.10109399999999999,0.028154,0.09089499999999999,0.018896,0.097497,0.067399,0.003126
3000,0.099691,0.039666,0.08981199999999999,0.03129,0.09705599999999999,0.055035,0.0028859999999999997
3000,0.107336,0.023164999999999998,0.098118,0.014358,0.103638,0.050596999999999996,0.002986
3000,0.100273,0.048303,0.092017,0.039867,0.09870899999999999,0.054003999999999996,0.003036
3000,0.099301,0.039085,0.09085499999999999,0.029747,0.12116299999999999,0.058211,0.0029349999999999997
3000,0.09898,0.028544999999999997,0.088209,0.019126,0.096144,0.058823,0.0030759999999999997
3000,0.099371,0.049254,0.089642,0.040357,0.09726699999999999,0.047320999999999995,0.003035
3000,0.09897,0.049495,0.090484,0.040809,0.097346,0.044535,0.002866
3000,0.106003,0.023666,0.094802,0.015639999999999998,0.11104299999999999,0.057269999999999995,0.002936
3000,0.120652,0.027933,0.092207,0.017865,0.098148,0.054223999999999994,0.0029259999999999998
3000,0.09929099999999999,0.019417,0.08775899999999999,0.01026,0.09500199999999999,0.052641,0.002786
3000,0.097818,0.050557,0.097437,0.041749999999999995,0.09719599999999999,0.048091999999999996,0.0030659999999999997
3000,0.104821,0.032251999999999996,0.11384899999999999,0.022704,0.09891,0.053101999999999996,0.003126
3000,0.095093,0.030938999999999998,0.126432,0.021581,0.09290899999999999,0.051469,0.0030559999999999997
3000,0.09917,0.045998,0.09460199999999999,0.039605999999999995,0.11988,0.046168999999999995,0.002946
3000,0.099341,0.030368,0.08878,0.021651,0.106665,0.060675999999999994,0.0030659999999999997
3000,0.101835,0.026039999999999997,0.090113,0.016181,0.098218,0.059875,0.004288
3000,0.098829,0.031942,0.089832,0.022813999999999997,0.097367,0.052219999999999996,0.002876
3000,0.108017,0.030598999999999998,0.09236699999999999,0.02098,0.096415,0.04194,0.002665
3000,0.11562199999999999,0.022442999999999998,0.099621,0.013675999999999999,0.098829,0.051158999999999996,0.0027849999999999997
3000,0.09863899999999999,0.042481,0.090764,0.033673999999999996,0.097157,0.043674,0.0032259999999999997
3000,0.10361899999999999,0.058372,0.093369,0.048583,0.101445,0.04695,0.003387
3000,0.09872,0.043393,0.089612,0.034566,0.096285,0.043483999999999995,0.0026449999999999998
3000,0.09813899999999999,0.030208,0.08843999999999999,0.022241999999999998,0.097457,0.054365,0.002895
3000,0.096555,0.055425999999999996,0.091685,0.045958,0.095624,0.053883,0.003156
3000,0.10040299999999999,0.017113,0.10256699999999999,0.008846,0.096315,0.049715999999999996,0.0027949999999999997
3000,0.100503,0.05722,0.08903,0.047712,0.10256699999999999,0.052591,0.0029159999999999998
3000,0.096555,0.044364999999999995,0.099491,0.035849,0.095884,0.052541,0.002796
3000,0.09899,0.033053,0.09222699999999999,0.025047999999999997,0.09961099999999999,0.048142,0.003196
3000,0.097718,0.045417,0.09053399999999999,0.035669,0.096194,0.044245,0.002966
3000,0.097387,0.024607,0.08613499999999999,0.01603,0.093419,0.046589,0.002996
3000,0.10159499999999999,0.030268,0.105082,0.020429,0.100493,0.050968,0.002755
3000,0.099161,0.035047999999999996,0.09013299999999999,0.025207999999999998,0.09805799999999999,0.048523,0.002656
3000,0.09734699999999999,0.028735,0.089251,0.020107999999999997,0.094612,0.063151,0.002725
3000,0.09859899999999999,0.059032999999999995,0.08894099999999999,0.041129,0.096425,0.04668,0.0027949999999999997
3000,0.096886,0.034194999999999996,0.08813,0.025679999999999998,0.09514299999999999,0.049184,0.002676
3000,0.10098399999999999,0.031279999999999995,0.09161599999999999,0.022494,0.099771,0.044024999999999995,0.0032359999999999997
3000,0.102527,0.044615999999999996,0.09254699999999999,0.03642,0.09934,0.052611,0.002806
3000,0.100032,0.034316,0.08941099999999999,0.026039999999999997,0.109731,0.056298,0.004138
3000,0.09550299999999999,0.043855,0.086326,0.034846999999999996,0.093399,0.049534999999999996,0.0030459999999999997
3000,0.10152499999999999,0.033423999999999995,0.11244499999999999,0.025418999999999997,0.09915,0.035637999999999996,0.003186
3000,0.105112,0.044735,0.10725599999999999,0.035759,0.101575,0.034947,0.0030459999999999997
4000,0.12897799999999998,0.030017,0.12013,0.018796,0.137274,0.087047,0.003397
4000,0.129208,0.027632999999999998,0.11993,0.016561,0.125701,0.084212,0.003787
4000,0.136121,0.059313,0.126052,0.061458,0.133316,0.08198799999999999,0.004047
4000,0.139076,0.054433999999999996,0.132074,0.044455999999999996,0.139438,0.055355999999999995,0.0035369999999999998
4000,0.132164,0.058832999999999996,0.12105199999999999,0.052641,0.128997,0.051549,0.0038669999999999998
4000,0.139918,0.018746,0.12052099999999999,0.007955,0.126633,0.077399,0.0036669999999999997
4000,0.128105,0.06752,0.126823,0.056298,0.126382,0.07293999999999999,0.003436
4000,0.13283499999999998,0.041339,0.121373,0.029807,0.138626,0.062821,0.003958
4000,0.133436,0.029616999999999997,0.11939899999999999,0.018234999999999998,0.136411,0.079062,0.003506
4000,0.14288399999999998,0.047832,0.130991,0.036891,0.13697299999999998,0.085825,0.003397
4000,0.12983899999999998,0.031741,0.12059099999999999,0.019708,0.127394,0.060225999999999995,0.003617
4000,0.14035999999999998,0.037391,0.129328,0.026271,0.13587,0.07427299999999999,0.003496
4000,0.134508,0.038965,0.124459,0.039566,0.13139199999999998,0.07535499999999999,0.003516
4000,0.13455799999999998,0.045557,0.12405799999999999,0.034927,0.13078099999999998,0.08992299999999999,0.003477
4000,0.136011,0.028314,0.125191,0.017003,0.13206299999999999,0.062258999999999995,0.0037979999999999997
4000,0.13264399999999998,0.075505,0.12260499999999999,0.064784,0.13016,0.061047,0.003907
4000,0.13639199999999999,0.059093,0.134799,0.049124,0.134047,0.07084599999999999,0.003557
4000,0.138476,0.040247,0.188522,0.032050999999999996,0.136903,0.059104,0.003727
4000,0.132915,0.047681999999999995,0.21046399999999998,0.039145,0.136121,0.075094,0.004118
4000,0.14363599999999999,0.035768,0.123136,0.024357,0.13014,0.071618,0.0038269999999999997
4000,0.14959699999999998,0.033403999999999996,0.127505,0.020319,0.136783,0.079813,0.004278
4000,0.134147,0.028825,0.128346,0.019818,0.128917,0.089172,0.0034059999999999997
4000,0.155088,0.06908199999999999,0.124028,0.058022,0.13603099999999999,0.07377199999999999,0.003567
4000,0.13033,0.038974,0.121844,0.028204,0.157111,0.065375,0.003457
4000,0.13494899999999999,0.059083,0.124219,0.048843,0.131101,0.082368,0.003457
4000,0.134799,0.044135,0.124709,0.033525,0.132304,0.071587,0.003526
4000,0.130881,0.026771,0.12062099999999999,0.015189,0.126864,0.072429,0.003417
4000,0.131913,0.029226,0.128526,0.018756,0.131883,0.08620499999999999,0.003607
4000,0.158404,0.055084999999999995,0.124248,0.045167,0.132104,0.082338,0.003466
4000,0.137965,0.062951,0.12472,0.050928,0.13636199999999998,0.064714,0.00511
4000,0.13120199999999999,0.05209,0.12361699999999999,0.049414,0.127715,0.075946,0.003747
4000,0.127625,0.071087,0.117575,0.060085,0.12503,0.072068,0.003277
4000,0.134207,0.045857999999999996,0.1249,0.034877,0.132044,0.07405199999999999,0.0034869999999999996
4000,0.136061,0.064664,0.125311,0.045297,0.132936,0.071367,0.003968
4000,0.139158,0.050237,0.138837,0.038363999999999995,0.1354,0.05726,0.0039369999999999995
4000,0.13072,0.055066,0.120933,0.044055,0.12914799999999999,0.06865199999999999,0.003457
4000,0.134388,0.066868,0.135881,0.061077,0.13095199999999999,0.084663,0.003767
4000,0.135269,0.057841,0.12503999999999998,0.046418999999999995,0.15117,0.086646,0.0036569999999999997
4000,0.138005,0.056417999999999996,0.128016,0.045427999999999996,0.13519899999999999,0.09734699999999999,0.004148
4000,0.137023,0.070625,0.126403,0.046519,0.13600099999999998,0.068812,0.003627
4000,0.143976,0.039404999999999996,0.124959,0.028915,0.13581,0.083129,0.0036869999999999997
4000,0.129929,0.053943,0.12004,0.042581999999999995,0.127084,0.082759,0.0036869999999999997
4000,0.142764,0.037551999999999995,0.120531,0.026320999999999997,0.12781499999999998,0.079112,0.003476
4000,0.133496,0.042883,0.12511,0.03127,0.129167,0.059985,0.0035269999999999998
4000,0.139077,0.05712,0.127274,0.046609,0.13573,0.06299099999999999,0.003456
4000,0.135901,0.051398,0.125711,0.028554999999999997,0.133045,0.086155,0.003427
