n,diff
62500,9.94499856912806
62600,9.953666528572398
62700,9.94588284208605
62800,9.949690482455146
62900,9.941850516194421
63000,9.947697701973233
63100,9.943279987002981
63200,9.935647039442493
63300,9.916573897550457
63400,9.96676378037536
63500,9.931875787431267
63600,9.957661093929616
63700,9.934024496337408
63800,9.949563244787448
63900,9.943037127890854
64000,9.93943585776573
64100,9.946090556530223
64200,9.943466068913686
64300,9.926756762075712
64400,9.926039107714793
64500,9.965541540761642
64600,9.947333194697812
64700,9.938461527807334
64800,9.955614490801793
64900,9.94195136954832
65000,9.922401505352148
65100,9.935907476720594
65200,9.9486095015287
65300,9.920241788703265
65400,9.962226303076214
65500,9.954137271812847
65600,9.936580953402931
65700,9.933353375321644
65800,9.937107204943892
65900,9.97821247445382
66000,9.935889056511861
66100,9.953836412079866
66200,9.990447210594859
66300,9.951944420256702
66400,9.957442075177575
66500,9.932209284665241
66600,9.945384150728032
66700,9.94134557938559
66800,9.945163937660574
66900,9.93126996435732
67000,9.972971580659568
67100,9.949379830910821
67200,9.945210763842084
67300,9.957485147889358
67400,9.934269599175046
67500,9.961433519683595
67600,9.923938589062551
67700,9.955414639674586
67800,9.941900755814189
67900,9.921959855905314
68000,9.964453163465024
68100,9.947781673155148
68200,9.955549182422473
68300,9.943469287328817
68400,9.916211610389453
68500,9.948693149542954
68600,9.957919998316562
68700,9.942524440404874
68800,9.952529678764527
68900,9.93736947958552
69000,9.946716824856544
69100,9.944627957203089
69200,9.935034075130368
69300,9.938451539454178
69400,9.907156163736296
69500,9.939238876020617
69600,9.937598029095305
69700,9.928268760511479
69800,9.955579056032434
69900,9.921434413672053
70000,9.949352957423521
70100,9.947008591597232
70200,9.961889072143386
70300,9.964368948183782
70400,9.954627519650202
70500,9.947480181414704
70600,9.949621200625849
70700,9.94778402217186
70800,9.953145845805778
70900,9.967523982224904
71000,9.932126280056593
71100,9.943040748364012
71200,9.945623733972468
71300,9.950770959149182
71400,9.922241864389989
71500,9.933383435637943
71600,9.948094076781523
71700,9.927735171708257
71800,9.92005646871813
71900,9.959697902185319
72000,9.945558369525237
72100,9.951116983856686
72200,9.950989404862554
72300,9.936022940419427
72400,9.93925488699805
72500,9.937670683263818
72600,9.953888166766191
72700,9.916710216558009
72800,9.93539625273727
72900,9.953847776465402
73000,9.921039573876293
73100,9.941877073393165
73200,9.952921772728828
73300,9.946929738794324
73400,9.93987302690973
73500,9.94139633028847
73600,9.948288604979183
73700,9.957722828984977
73800,9.95538609632446
73900,9.948317969088585
74000,9.952437437022041
74100,9.93241484758073
74200,9.95756549217645
74300,9.956876528329573
74400,9.95471370432179
74500,9.939393028415488
74600,9.923333663981339
74700,9.950269858406045
74800,9.955944216495745
74900,9.940643644404034
75000,9.951678411780193
75100,9.938271635097912
75200,9.95463838285648
75300,9.955371011877993
75400,9.94114757301795
75500,9.943443470452436
75600,9.923223890773507
75700,9.93807516121013
75800,9.950459813279458
75900,9.946110653729136
76000,9.951622888696264
76100,9.925038385950032
76200,9.93451287319781
76300,9.925771024259127
76400,9.946351308629282
76500,9.916623998233511
76600,9.931294398533815
76700,9.960044965017424
76800,9.93709998811373
76900,9.934617943141433
77000,9.93157955874348
77100,9.944213149449332
77200,9.90525305745048
77300,9.936973348865209
77400,9.96522425645216
77500,9.943879993568096
77600,9.942634937177502
77700,9.957660690357294
77800,9.943562107132003
77900,9.930447781234406
78000,9.950392581196958
78100,9.933396240791296
78200,9.962213761675521
78300,9.934549669414892
78400,9.924222639618655
78500,9.945844886160401
78600,9.937223942113143
78700,9.934165751035643
78800,9.937294039900095
78900,9.940690417162322
79000,9.955007188569716
79100,9.935076848729793
79200,9.945929959467215
79300,9.938157324646305
79400,9.946290393365963
79500,9.957038655918993
79600,9.940932613812777
79700,9.939893882588557
79800,9.9363237535091
79900,9.935728818757283
80000,9.941078532872645
80100,9.972073712929259
80200,9.929035510862754
80300,9.943284102958074
80400,9.937935790347119
80500,9.958031498335572
80600,9.934584957204414
80700,9.953010102030866
80800,9.913388030420052
80900,9.954511572223453
81000,9.939305538906176
81100,9.94294138940895
81200,9.940010506123727
81300,9.933268675965444
81400,9.953706190683071
81500,9.951306512020736
81600,9.923100513479532
81700,9.96644033059664
81800,9.954958586550482
81900,9.950755358795078
82000,9.941479779301915
82100,9.933582120018535
82200,9.939799665121512
82300,9.941399627541138
82400,9.914514087516984
82500,9.953719051621263
82600,9.966440677374223
82700,9.934131931380328
82800,9.940954080190224
82900,9.938177372268022
83000,9.942677337285183
83100,9.93873765615038
83200,9.939343727634522
83300,9.928403637178
83400,9.946107233407893
83500,9.947551832684894
83600,9.929648376244138
83700,9.945484824340248
83800,9.92833017445352
83900,9.936186978784114
84000,9.938027031436476
84100,9.941704182337546
84200,9.951463779039095
84300,9.931039801963188
