n,cvar,qcvar,tvar,qtvar,evar
4000000,477.920702,52.196275,438.577044,67.873716,858.9704959999999
5000000,620.242426,42.384116,579.4465289999999,77.693429,1221.408616
5000000,639.845052,66.85539,595.657353,152.50773999999998,1030.270206
5000000,686.928421,63.839831,589.149359,146.639333,1003.3734959999999
5000000,652.191247,88.25249199999999,615.0319509999999,124.570562,1036.385337
5000000,745.311254,119.207726,615.469312,125.517259,1059.670625
5000000,636.8020399999999,129.592975,592.817511,121.16688599999999,1057.580762
5000000,635.5086259999999,82.805925,589.1992839999999,121.231551,1062.2798149999999
5000000,648.6662289999999,68.956645,605.251755,105.975059,1084.6992989999999
5000000,646.238087,83.64621799999999,602.538364,102.46103199999999,976.5392559999999
5000000,644.981945,64.17264899999999,606.308725,126.269122,1057.323839
6000000,803.948637,83.08563199999999,755.815533,124.86418499999999,1169.052866
6000000,809.705189,91.54586599999999,754.898331,104.146879,1202.449927
6000000,797.337594,62.827797,740.99088,121.75143899999999,1238.9574209999998
6000000,806.2446749999999,117.99871399999999,756.0693799999999,113.082535,1332.089481
6000000,775.96028,74.099458,726.0455559999999,116.448788,1300.768576
6000000,802.539963,112.72054999999999,749.138524,133.864275,1201.946632
6000000,817.959308,120.266829,757.7074349999999,166.707273,1240.008268
6000000,791.712985,117.066454,739.7336859999999,141.228906,1237.8612269999999
6000000,802.940201,123.58958799999999,756.875788,129.019573,1179.829548
6000000,804.900035,44.878125,803.3357599999999,137.208867,1402.4145939999999
7000000,979.727638,51.907630999999995,887.9103719999999,193.355547,1627.814946
7000000,971.247747,82.23017,901.582953,171.27421099999998,1476.461603
7000000,1032.460243,125.535614,912.328003,136.573327,1514.904523
7000000,978.366144,87.62280299999999,911.657787,146.917467,1413.781429
7000000,968.428505,140.833506,908.6090029999999,198.178407,1454.1464589999998
7000000,970.6993739999999,130.256699,907.77419,124.95437899999999,1454.318059
7000000,995.1085889999999,206.551392,931.993971,197.53504099999998,1492.263383
7000000,983.6222359999999,64.12896599999999,929.837321,217.046103,1378.140481
7000000,1011.5520309999999,127.15381199999999,954.687472,146.828757,1330.139931
7000000,977.116195,85.75951599999999,918.474574,127.712515,1483.3626239999999
8000000,1139.812177,103.38659899999999,1081.220472,204.759011,1524.995037
8000000,1159.122563,92.503233,1091.664214,212.476238,1612.639432
8000000,1134.4512949999998,69.481292,1056.10415,177.596821,1700.5053619999999
8000000,1143.537871,51.529956,1071.3577269999998,256.147576,1657.3265199999998
8000000,1151.208608,186.16125499999998,1070.703741,180.15362,1656.567734
8000000,1181.525926,117.75308299999999,1109.506372,156.287117,1786.7984139999999
8000000,1185.3945139999998,49.982706,1114.581894,203.107892,1579.61657
8000000,1156.369678,120.956063,1082.527052,183.54498099999998,1832.392964
8000000,1135.831526,149.759695,1077.070095,168.86342299999998,1744.143367
8000000,1274.105588,67.33528199999999,1072.784768,158.38037599999998,1695.3046479999998
9000000,1320.291894,85.525858,1237.012049,134.98022799999998,1904.3416539999998
9000000,1342.2223299999998,167.986519,1260.483023,161.673027,1853.852737
9000000,1350.02407,161.28971199999998,1273.666655,200.866629,1944.8491279999998
9000000,1340.160702,168.60126,1252.795434,187.027367,1945.997553
9000000,1308.223434,70.637582,1221.5440409999999,181.21774299999998,1702.937585
9000000,1362.039239,155.157869,1275.441253,155.000396,2011.840761
9000000,1332.009243,109.410235,1242.335271,199.565701,1857.9599839999998
9000000,1313.873943,82.341233,1229.875488,236.28454,1858.213601
9000000,1467.529859,140.73597999999998,1244.728366,169.93685399999998,1944.822778
9000000,1314.6777869999999,123.975129,1234.545204,173.76474399999998,1946.233597
10000000,1574.001141,128.13902299999998,1419.7237129999999,194.024622,2169.6537989999997
