n,cvar,qcvar,var,qvar,tvar,qtvar
26,99231.0,3757.0,116574.0,2144.0,4589.0,5530.0
27,86948.0,3036.0,85665.0,1673.0,3106.0,4349.0
27,87298.0,3156.0,91946.0,1673.0,2855.0,4479.0
27,88120.0,3257.0,86066.0,1714.0,3417.0,4168.0
27,104271.0,3076.0,85815.0,1673.0,3016.0,4709.0
27,87548.0,3015.0,87117.0,1673.0,3367.0,5531.0
27,87057.0,3316.0,88691.0,1933.0,3547.0,4769.0
27,90274.0,2966.0,86567.0,1693.0,3266.0,4038.0
27,87227.0,3056.0,86306.0,1683.0,2945.0,4278.0
27,104561.0,3025.0,86817.0,1693.0,3086.0,4498.0
27,87518.0,3136.0,86165.0,1753.0,2925.0,4228.0
28,80244.0,2786.0,77319.0,1503.0,2646.0,3617.0
28,77419.0,2786.0,77008.0,1493.0,2775.0,3848.0
28,76958.0,2715.0,93770.0,1483.0,2896.0,3727.0
28,76637.0,2785.0,76106.0,1463.0,2615.0,3647.0
28,76918.0,2665.0,76597.0,1483.0,2615.0,3948.0
28,77609.0,2665.0,75876.0,1473.0,2625.0,3527.0
28,77709.0,2575.0,76016.0,1473.0,2785.0,3687.0
28,77509.0,2806.0,75956.0,1463.0,2555.0,3677.0
28,94422.0,2595.0,75806.0,1473.0,2605.0,3727.0
28,77880.0,2775.0,76076.0,1453.0,3847.0,3988.0
29,74443.0,2645.0,71357.0,1422.0,2635.0,3707.0
29,75325.0,2705.0,73692.0,1433.0,2885.0,3787.0
29,74844.0,2776.0,101726.0,1423.0,2925.0,3848.0
29,74443.0,2635.0,74192.0,1422.0,2415.0,3597.0
29,74633.0,2575.0,74012.0,1473.0,2705.0,3577.0
29,74573.0,2655.0,73952.0,1413.0,2365.0,4048.0
29,74623.0,2575.0,74063.0,1403.0,2495.0,3818.0
29,75275.0,2685.0,74433.0,1413.0,3046.0,4088.0
29,74493.0,2706.0,92388.0,1423.0,2505.0,3727.0
29,75375.0,2645.0,73471.0,1423.0,3136.0,3877.0
30,75485.0,3176.0,74554.0,1563.0,2615.0,3808.0
30,75746.0,2705.0,74433.0,1433.0,2685.0,4338.0
30,75946.0,2625.0,74604.0,1433.0,2645.0,4108.0
30,96816.0,3316.0,75796.0,1453.0,2635.0,3717.0
30,75425.0,2866.0,75546.0,1443.0,2856.0,3807.0
30,75225.0,2705.0,74713.0,1443.0,2475.0,3838.0
30,75946.0,2645.0,74934.0,1453.0,2675.0,4098.0
30,75355.0,2635.0,74683.0,1423.0,2504.0,3757.0
30,75796.0,2585.0,93009.0,1443.0,2685.0,3527.0
30,76016.0,2816.0,74713.0,1433.0,2736.0,3947.0
31,74263.0,2856.0,72730.0,1543.0,2465.0,3897.0
31,79483.0,2676.0,70255.0,1513.0,2695.0,3597.0
