Size,Fast_CVaR,Slow_CVaR
10000005,1.447610302,11.909009931
10000005,0.475102845,6.81613264
10000005,0.454886813,6.195172759
10000005,0.27141469,7.61122954
10000005,0.558516015,8.569751694
10000005,0.277366895,7.75930156
10000005,0.501050088,7.183905181
10000005,0.461020228,8.371409447
10000005,0.372011193,7.472578675
10000005,0.421838802,8.229225282
11000005,2.356226769,11.718304037
11000005,0.305715783,9.701472298
11000005,0.414131905,8.604119881999999
11000005,0.373293287,8.680181201
11000005,0.507436067,10.527893461
11000005,0.508568964,7.862261375
11000005,0.723166774,7.659221036
11000005,0.288703271,9.195601055
11000005,0.399238727,7.284464574
11000005,0.530689357,8.879757203
12000005,1.942174766,11.943296976
12000005,2.965952847,11.949791559
12000005,2.743541419,13.312795814
12000005,0.339749585,11.353619729
12000005,0.732068351,9.079374123
12000005,3.016762678,9.617075572
12000005,3.0138159,10.554656142
12000005,2.970123179,10.906475288
12000005,2.305889885,11.575257094
12000005,3.4189924449999998,11.750302761
13000005,3.421150453,11.556763504
13000005,3.497166758,11.355659044
13000005,3.852581389,8.677565474
13000005,0.5889475,10.292901212
13000005,0.807348134,8.776103406
13000005,4.168445518,11.053943684
13000005,0.640916807,9.363245209
13000005,3.58987907,14.004336033
13000005,0.430805942,13.459557817
13000005,0.659307844,10.449282307
14000005,2.145498177,16.46132224
14000005,0.771003267,12.882307007
14000005,3.821575555,13.401540736
14000005,0.472102788,11.40744654
14000005,0.665436372,10.502099204
14000005,2.80529605,13.753310138
14000005,0.517998311,11.575101482
14000005,0.5250612,10.625727621
14000005,0.541148136,18.054354611
14000005,0.849715849,13.209412664
15000005,2.030755048,15.746958389
15000005,0.708084272,13.194217
15000005,0.549116573,11.562276144
15000005,0.703570153,12.552865838
15000005,0.636072098,13.320015138
15000005,0.475076486,12.007774837
15000005,0.484415375,11.524619806
15000005,0.580429882,14.173450734
15000005,0.177654491,14.188978281
15000005,0.687213651,11.048107346
16000005,0.758042645,13.208529098
16000005,0.443909322,12.592965149
16000005,0.599159546,12.682636187
16000005,0.495388818,14.70645808
16000005,0.713728559,15.13751411
16000005,1.01999744,12.301227978
16000005,0.851120324,11.643671457
16000005,0.479430194,14.951167524
16000005,0.208405946,14.691331905
16000005,0.519513562,16.346289106
17000005,0.41303696,12.68266973
17000005,0.489598848,14.811722879
17000005,0.720779966,14.89949785
17000005,0.966162323,12.210145041
17000005,0.630884326,14.116797953
17000005,0.691846101,13.683524081
17000005,0.654790902,12.645492402
17000005,0.478612789,13.358510468
17000005,0.76095592,15.521798025
17000005,0.732023427,13.727773766
18000005,4.060499399,17.939182987
18000005,0.528835209,15.276628977
18000005,3.61164498,17.068017472
18000005,4.415629675,21.397708729
18000005,4.171845074,16.22159953
18000005,4.828382883,18.650292883
18000005,0.604150868,16.613946207
18000005,3.336943384,16.417695292
18000005,0.750022771,17.576094741
18000005,0.728685274,18.862230103
19000005,4.217761967,17.501249706
19000005,0.855142207,16.456302594
19000005,5.013142602,17.490469042
19000005,4.7465124979999995,20.990005424
19000005,1.007600465,15.676028015
19000005,3.715304188,19.098293049
19000005,1.063741055,16.975607605
19000005,0.976306453,18.634611768
19000005,0.844134349,15.152861209
19000005,0.670400033,15.446209231
20000005,2.159405635,21.422573612
20000005,0.888378755,17.311629197
20000005,0.817509686,21.093821306
20000005,0.634231415,18.721691265
20000005,0.388350963,19.811675449
20000005,2.276173783,20.90598736
20000005,0.69061954,19.690612984
20000005,1.000610423,17.599060813
20000005,1.095251595,15.500628433
20000005,0.978978984,23.195268841
21000005,2.284209487,26.074074052
21000005,0.461556454,23.079941836
21000005,0.699075312,20.157212378
21000005,0.918409487,20.139182338
21000005,0.729443929,18.978847658
21000005,1.093614493,20.362666639
21000005,1.366529929,20.487093503
21000005,0.640133086,22.687962136
21000005,0.331819811,22.082016609
21000005,1.252141114,19.589367705
22000005,3.97728936,21.73480683
22000005,0.580321981,23.161577921
22000005,0.842488551,17.422523537
22000005,1.099465048,23.767771221
22000005,0.790493949,20.711139246
22000005,1.089456975,20.579143363
22000005,0.80467509,22.025468565
22000005,0.84777542,18.51451187
22000005,0.785981533,18.964400528
22000005,0.845498969,21.03040153
23000005,4.805772129,24.706169144
23000005,0.554287193,21.298940746
23000005,0.777181376,23.645937652
23000005,1.029803273,22.309619627
23000005,0.891223851,21.49151267
23000005,0.647483634,20.070977517
23000005,0.810910948,22.060713429
23000005,0.871313642,20.291841964
23000005,1.043436788,23.91513372
23000005,1.382994793,20.827821404
24000005,1.55515042,23.174966187
24000005,1.18733622,22.730314461
24000005,0.585977088,27.172690568
24000005,1.126686141,22.367300747
24000005,0.877608571,22.875701575
24000005,1.4528388300000001,21.577626567
24000005,0.990287189,22.214921759
24000005,1.268203735,24.408836857
24000005,0.737945036,21.124696352
24000005,0.779771785,22.533384883
25000005,4.403383794,26.939597334
25000005,1.360733546,22.511962229
25000005,0.846150441,26.201117806
25000005,0.856697477,25.027907112
25000005,1.245718335,25.595797553
25000005,1.501633261,22.562668154
25000005,1.285262774,23.900267294
25000005,1.275585932,24.505099511
25000005,0.884026471,25.365997805
25000005,0.783424548,24.570357204
26000005,1.3662090359999999,23.467487289
26000005,1.393073099,22.580528287
26000005,1.01178297,24.887586554
26000005,1.356106435,26.228828468
26000005,0.953403911,31.581163929
26000005,1.041416438,24.518938971
26000005,1.29985675,25.445512673
26000005,0.867731784,25.457899577
26000005,1.139239157,27.367929084
26000005,1.153517601,24.178291302
27000005,1.224517026,26.381426214
27000005,1.643692391,23.294857392
27000005,1.315542864,28.641984466
27000005,1.243189733,29.138178094
27000005,0.823729793,28.386984636
27000005,1.317140432,26.001886039
27000005,1.780345129,23.195146021
27000005,1.732806453,23.703479171
27000005,1.262974085,25.487967461
27000005,0.646839956,23.989951456
28000005,1.738912077,29.528772506
28000005,1.120702505,27.048428783
28000005,1.5371194670000001,26.433015176
28000005,1.93994902,30.665279248
28000005,2.844977897,27.055728878
28000005,0.244079634,30.469071073
28000005,1.317652062,27.885101586
28000005,0.790808839,30.172181466
28000005,1.50961355,28.231507507
28000005,0.935785492,23.668786643
29000005,1.294867201,29.050920202
29000005,1.598771185,26.92965861
29000005,1.33138368,25.751254675
29000005,1.58463588,28.263156896
29000005,0.664853708,27.493387023
29000005,1.121270011,26.2168625
29000005,1.464938617,35.995651982
29000005,1.527856251,27.590698523
29000005,1.257500577,33.135606291
29000005,1.211244167,31.254871918
30000005,1.163278743,31.375740648
30000005,1.491873863,31.719116566
30000005,1.595194125,27.414847506
30000005,0.613625602,27.98268704
30000005,1.253213475,29.987506114
30000005,1.348825177,29.551549522
30000005,0.78915111,28.759751087
30000005,1.362985508,32.126694627
30000005,1.247681629,27.153829657
30000005,1.044045221,30.137961174
31000005,4.24171548,33.195172447
31000005,1.125897903,31.043798418
31000005,1.350521629,29.76913645
31000005,1.8646878120000001,31.939939675
31000005,2.279238942,34.646195331
31000005,1.261282311,30.881854407
31000005,1.5321811140000001,28.773171089999998
31000005,0.660821244,31.862615256
31000005,0.861356124,29.68241772
31000005,2.231833998,30.342240631
32000005,3.279384062,34.139888181
32000005,1.4278172740000001,34.555184628
32000005,1.34327163,30.968310235
32000005,1.11989996,31.89784975
32000005,0.965697421,34.882853884
32000005,1.389656661,38.681510447
32000005,1.109431324,31.639871134
32000005,1.034122185,33.656091145
32000005,0.946056037,31.804008581
32000005,1.25377526,35.186190864
33000005,4.282569947,35.93478183
